State,Score,Last Updated
Arizona,100,4/7/2021
Georgia,100,4/7/2021
Alaska,96,4/7/2021
Florida,96,4/7/2021
Texas,96,4/7/2021
Alabama,93,4/7/2021
Oklahoma,93,4/7/2021
Arkansas,92,4/7/2021
North Dakota,92,4/7/2021
South Dakota,92,4/7/2021
Indiana,90,4/7/2021
Missouri,90,4/7/2021
Wisconsin,90,4/7/2021
Iowa,89,4/7/2021
Louisiana,89,4/7/2021
Nebraska,89,4/7/2021
Wyoming,89,4/7/2021
West Virginia,88,4/7/2021
Kansas,86,4/7/2021
Mississippi,86,4/7/2021
Utah,86,4/7/2021
South Carolina,85,4/7/2021
Maryland,84,4/7/2021
Montana,82,4/7/2021
Idaho,76,4/7/2021
Ohio,75,4/7/2021
Connecticut,74,4/7/2021
New Hampshire,73,4/7/2021
North Carolina,72,4/7/2021
Tennessee,72,4/7/2021
Maine,69,4/7/2021
Virginia,69,4/7/2021
Minnesota,65,4/7/2021
Nevada,65,4/7/2021
Pennsylvania,65,4/7/2021
New Jersey,64,4/7/2021
Massachusetts,61,4/7/2021
Kentucky,60,4/7/2021
Colorado,58,4/7/2021
Rhode Island,57,4/7/2021
Michigan,54,4/7/2021
New Mexico,52,4/7/2021
New York,52,4/7/2021
Delaware,51,4/7/2021
Washington,49,4/7/2021
Oregon,47,4/7/2021
Illinois,45,4/7/2021
California,44,4/7/2021
Hawaii,42,4/7/2021
Vermont,42,4/7/2021
